Senator;Party;State;Population;Tweets;RepublicanNo
BenSasse;R;Nebraska;1917575;37195;0
JerryMoran;R;Kansas;2910689;18917;1
LindseyGraham;R;SouthCarolina;5021219;9845;1
LisaMurkowski;R;Alaksa;739786;42003;1
RandPaul;R;Kentucky;4453874;99442;1
RoyBlunt;R;Missouri;6108621;10244;0
SusanCollins;R;Maine;1335063;52930;1
PatrickLeahy;D;Vermont;624525;2078;0
BillNelson;D;Florida;20976812;5313;0
BobCasey;D;Pennsylvania;12790447;10043;0
BobCorker;R;Tennessee;6708794;10888;1
DeanHeller;R;Nevada;2972405;35244;1
GaryPeters;D;Michigan;9976447;2011;0
MikeLee;R;Utah;3103118;2078;1
RichardShelby;R;Alabama;4875120;2768;0
TomCotton;R;Arkansas;3002997;3928;1
DanSullivan;R;Alaska;739786;3947;0
RichardBurr;R;NorthCarolina;10270800;13376;0
JonTester;D;Montana;1053090;1865;0